usertype,start_station_name,end_station_name,route,num_of_trips,duration
Subscriber,8 Ave & W 31 St,9 Ave & W 22 St,8 Ave & W 31 St to 9 Ave & W 22 St,6197,6.3
Subscriber,W 25 St & 6 Ave,W 26 St & 10 Ave,W 25 St & 6 Ave to W 26 St & 10 Ave,6182,6.46
Subscriber,W 22 St & 8 Ave,Broadway & E 22 St,W 22 St & 8 Ave to Broadway & E 22 St,6174,6.43
Subscriber,E 47 St & Park Ave,W 49 St & 8 Ave,E 47 St & Park Ave to W 49 St & 8 Ave,6165,7.92
Subscriber,E 17 St & Broadway,1 Ave & E 18 St,E 17 St & Broadway to 1 Ave & E 18 St,6157,6.33
Subscriber,Greenwich Ave & 8 Ave,8 Ave & W 31 St,Greenwich Ave & 8 Ave to 8 Ave & W 31 St,6155,8.39
Subscriber,Broadway & E 14 St,E 13 St & Avenue A,Broadway & E 14 St to E 13 St & Avenue A,6154,7.56
Subscriber,Broadway & W 29 St,Broadway & E 22 St,Broadway & W 29 St to Broadway & E 22 St,6145,4.72
Subscriber,W 31 St & 7 Ave,E 17 St & Broadway,W 31 St & 7 Ave to E 17 St & Broadway,6139,9.01
Subscriber,Broadway & E 22 St,E 20 St & 2 Ave,Broadway & E 22 St to E 20 St & 2 Ave,6137,5.66
Subscriber,W 31 St & 7 Ave,Broadway & E 22 St,W 31 St & 7 Ave to Broadway & E 22 St,6133,7.07
Subscriber,Pershing Square North,8 Ave & W 33 St,Pershing Square North to 8 Ave & W 33 St,6127,10.13
Subscriber,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave to McGuinness Blvd & Eagle St,6118,5.73
Subscriber,6 Ave & Canal St,Barclay St & Church St,6 Ave & Canal St to Barclay St & Church St,6117,7.05
Subscriber,W 21 St & 6 Ave,6 Ave & W 33 St,W 21 St & 6 Ave to 6 Ave & W 33 St,6103,6.45
Subscriber,Broadway & E 14 St,E 7 St & Avenue A,Broadway & E 14 St to E 7 St & Avenue A,6098,9.29
Subscriber,E 39 St & 2 Ave,2 Ave & E 31 St,E 39 St & 2 Ave to 2 Ave & E 31 St,6087,4.2
Subscriber,West St & Chambers St,Washington St & Gansevoort St,West St & Chambers St to Washington St & Gansevoort St,6079,12.92
Subscriber,W 33 St & 7 Ave,E 32 St & Park Ave,W 33 St & 7 Ave to E 32 St & Park Ave,6077,6.07
Subscriber,West St & Chambers St,W 20 St & 11 Ave,West St & Chambers St to W 20 St & 11 Ave,6069,15.36
Subscriber,E 17 St & Broadway,W 31 St & 7 Ave,E 17 St & Broadway to W 31 St & 7 Ave,6057,9.15
Subscriber,Barclay St & Church St,6 Ave & Canal St,Barclay St & Church St to 6 Ave & Canal St,6054,6.5
Subscriber,W 20 St & 11 Ave,W 22 St & 8 Ave,W 20 St & 11 Ave to W 22 St & 8 Ave,6054,5.54
Subscriber,West St & Chambers St,Barrow St & Hudson St,West St & Chambers St to Barrow St & Hudson St,6053,10.7
Subscriber,W 31 St & 7 Ave,E 30 St & Park Ave S,W 31 St & 7 Ave to E 30 St & Park Ave S,6051,6.7
Subscriber,West St & Chambers St,West Thames St,West St & Chambers St to West Thames St,6048,9.95
Subscriber,Broadway & W 24 St,E 17 St & Broadway,Broadway & W 24 St to E 17 St & Broadway,6034,5.23
Subscriber,8 Ave & W 31 St,W 49 St & 8 Ave,8 Ave & W 31 St to W 49 St & 8 Ave,6031,8.76
Subscriber,West Thames St,West St & Chambers St,West Thames St to West St & Chambers St,6028,9.96
Subscriber,Broadway & W 58 St,Broadway & W 49 St,Broadway & W 58 St to Broadway & W 49 St,6027,5.43
Subscriber,E 30 St & Park Ave S,W 31 St & 7 Ave,E 30 St & Park Ave S to W 31 St & 7 Ave,5987,5.81
Subscriber,W 13 St & 6 Ave,W 21 St & 6 Ave,W 13 St & 6 Ave to W 21 St & 6 Ave,5986,4.78
Subscriber,W 31 St & 7 Ave,Lexington Ave & E 24 St,W 31 St & 7 Ave to Lexington Ave & E 24 St,5981,8.46
Subscriber,W 41 St & 8 Ave,E 47 St & Park Ave,W 41 St & 8 Ave to E 47 St & Park Ave,5953,9.5
Customer,Central Park S & 6 Ave,Central Park West & W 72 St,Central Park S & 6 Ave to Central Park West & W 72 St,5951,34.11
Subscriber,1 Ave & E 30 St,W 31 St & 7 Ave,1 Ave & E 30 St to W 31 St & 7 Ave,5946,10.06
Subscriber,W 26 St & 8 Ave,8 Ave & W 31 St,W 26 St & 8 Ave to 8 Ave & W 31 St,5941,4.3
Subscriber,Lafayette St & E 8 St,St Marks Pl & 1 Ave,Lafayette St & E 8 St to St Marks Pl & 1 Ave,5933,4.5
Subscriber,8 Ave & W 33 St,8 Ave & W 52 St,8 Ave & W 33 St to 8 Ave & W 52 St,5929,10.42
Subscriber,Broadway & W 49 St,W 47 St & 10 Ave,Broadway & W 49 St to W 47 St & 10 Ave,5926,5.34
